成员,时间,内容
Xian,2025-12-24 13:17:20,300-1000
Xian,2025-12-24 13:17:27,700左右
Wang,2025-12-24 13:17:27,不吃
Wang,2025-12-24 13:17:36,700我为什么不跟我女朋友去吃
Kang,2025-12-24 13:18:04,700和你女朋友去吃只有兩个人开心
Xian,2025-12-24 13:18:05,或者不急着今天玩嘛，明天出去玩顺手吃好吃的
Wang,2025-12-24 13:18:16,那不就够了
Evelyn,2025-12-24 13:18:20,浪漫的很
Xian,2025-12-24 13:18:26,今天你要点什么外卖
Kang,2025-12-24 13:18:45,鸡公煲～鸡公煲～金钩藕的味
Wang,2025-12-24 13:18:48,两个人晚上整
Xian,2025-12-24 13:18:50,我没意见
Xian,2025-12-24 13:19:33,但是吃得完吗
Wang,2025-12-24 13:19:45,包整得完
Xian,2025-12-24 13:19:49,我感觉得多点一点饮料了，不然会腻
Wang,2025-12-24 13:19:49,就6个
Wang,2025-12-24 13:20:06,上次我和孙文斌两个人点了
Wang,2025-12-24 13:20:13,刚好吃完
Xian,2025-12-24 13:20:15,这顶多算炸鸡盆
Xian,2025-12-24 13:20:17,吧
Xian,2025-12-24 13:20:25,我还以为有好多个嘞
Wang,2025-12-24 13:20:27,你看他只有6个
Wang,2025-12-24 13:20:30,其实很顶饱
Xian,2025-12-24 13:20:37,真的吗
Xian,2025-12-24 13:20:39,那我信了
Wang,2025-12-24 13:20:45,你要想
Bao,2025-12-24 13:20:45,那我呢
Wang,2025-12-24 13:20:54,孙文斌胃口比你大
Wang,2025-12-24 13:20:57,他都吃饱了
Wang,2025-12-24 13:21:25,你可以来明德楼跟我们一起吃
Xian,2025-12-24 13:21:29,对
Wang,2025-12-24 13:21:35,明德楼经常开做饭party
Bao,2025-12-24 13:23:57,有大姐姐做的饭吗
Xian,2025-12-24 13:24:15,你可以希望店员是大姐姐
Xian,2025-12-24 13:24:23,但不排除可能会是大妈
Wang,2025-12-24 13:25:44,明德楼大厅现在就有个女的和男的在幽会
Wang,2025-12-24 13:25:45,一起吃饭
Wang,2025-12-24 13:30:44,我一出来就能看到
Wang,2025-12-24 13:30:47,我不想看到都难
Bao,2025-12-24 13:31:47,@复制粘贴吧黄牌
Cheng,2025-12-24 13:32:06,@L.ing 想死了
Cheng,2025-12-24 13:32:12,？
Cheng,2025-12-24 13:33:56,吆西
Cheng,2025-12-24 13:35:31,高先生，您能教教我怎么玩ba嘛？
Bao,2025-12-24 13:52:34,感觉玩blue archive的人都是萝莉控
Cheng,2025-12-24 13:54:37,明日方舟也不错
Bao,2025-12-24 13:55:19,你是说明日方舟吗
Bao,2025-12-24 13:55:29,还有比明日方舟更有趣的事情吗
Cheng,2025-12-24 13:56:00,ba，鸣潮，明日方舟
Cheng,2025-12-24 13:56:10,这几个的立绘很对我胃口
Bao,2025-12-24 13:56:44,不得不承认你还是有点审美的
Cheng,2025-12-24 14:39:10,我好像离开咖啡因无法正常的清醒地存活了
Cheng,2025-12-24 14:39:31,一杯咖啡，我顿时感觉神清气爽，精力充沛
Cheng,2025-12-24 14:39:34,活力四射
Cheng,2025-12-24 14:39:54,和溜冰🧊似的
Xian,2025-12-24 15:00:31,？
Bao,2025-12-24 15:19:53,崔老师严选
Bao,2025-12-24 15:20:16,我每天都要点开微信小视频看崔哥点赞的视频
Cheng,2025-12-24 15:25:23,今天是真的热
Cheng,2025-12-24 15:25:29,这真是12月底吗
Cheng,2025-12-24 15:26:14,🥵
Cheng,2025-12-24 16:00:46,😋
Xian,2025-12-24 16:01:04,地址推一下
Xian,2025-12-24 16:01:09,看起来好好吃
Xian,2025-12-24 16:01:53,好远
Xian,2025-12-24 16:01:54,不去了
Cheng,2025-12-24 16:04:26,不理我[难过]
Cheng,2025-12-24 16:04:40,崔神不会刷一天短视频了吧
Bao,2025-12-24 16:09:59,我去这小狗
Bao,2025-12-24 16:10:05,可爱滴捏
Bao,2025-12-24 16:10:21,脱离群众
Cheng,2025-12-24 16:10:21,小狗狗
Xian,2025-12-24 16:14:15,珠海有什么好吃的大排档/烧烤店吗
Cheng,2025-12-24 16:15:35,↑广式烧烤
Bao,2025-12-24 16:15:53,美食家这一块
Cheng,2025-12-24 16:16:21,讲真的大排档没吃到很惊艳的
Wang,2025-12-24 16:24:08,醒了
Wang,2025-12-24 16:24:12,舒服
Xian,2025-12-24 16:25:21,吗
Xian,2025-12-24 16:33:27,我不赌
Chen,2025-12-24 16:33:38,吉他x2
Xian,2025-12-24 16:33:43,我与赌毒不共戴天
Xian,2025-12-24 16:33:49,黄天在上
Cheng,2025-12-24 16:33:56,送你们一人一包辣条吧
Cheng,2025-12-24 16:35:06,你没有
Xian,2025-12-24 16:35:10,？
Cheng,2025-12-24 16:35:29,你赌错了[旺柴]
Cheng,2026-01-02 11:40:07,我去，原
Cheng,2026-01-02 11:40:12,我去，舟
Bao,2026-01-02 11:48:33,这哪
Cheng,2026-01-02 11:53:33,白芮？
Bao,2026-01-02 12:12:52,我。。。我吗
Wang,2026-01-02 12:17:24,理工到底又扩了多少个宿舍
Wang,2026-01-02 12:17:46,荷兰花园又是什么宿舍
Cheng,2026-01-02 12:19:00,扩招嘛
Cheng,2026-01-02 12:19:32,给广外的安排的豪华宿舍吧
Evelyn,2026-01-02 12:21:14,和理工混住吧
Gao,2026-01-02 12:21:46,不可能的吧
Gao,2026-01-02 12:21:53,你理工寝室都是一个学年的
Gao,2026-01-02 12:22:09,广外下学期才来难道上学期就给他们分好寝室了吗
Evelyn,2026-01-02 12:22:28,占空床位[破涕为笑]
Evelyn,2026-01-02 12:23:07,我不想被广外包围
Evelyn,2026-01-02 12:23:24,本来就社恐 还没把理工认全
Cheng,2026-01-02 12:23:42,很重要吗？
Evelyn,2026-01-02 12:25:02,我们社恐开学第一天是这样的
Evelyn,2026-01-02 12:25:05,紧张死
Gao,2026-01-02 12:25:10,你好
Gao,2026-01-02 12:25:16,我的社恐仅限于要求公众表演
Evelyn,2026-01-02 12:25:18,你好
Bao,2026-01-02 12:25:26,你是社恐
Bao,2026-01-02 12:25:30,那我是什么
Evelyn,2026-01-02 12:25:33,你看起来很喜欢公众表演
Bao,2026-01-02 12:25:41,？
Bao,2026-01-02 12:25:46,我才是社恐
Evelyn,2026-01-02 12:25:50,社恐的子民
Bao,2026-01-02 12:25:50,我是i人好吗
Bao,2026-01-02 12:25:54,你是e人
Bao,2026-01-02 12:26:43,崔老师这社交能力不得一天加个20，30个
Evelyn,2026-01-02 12:27:04,你加的学弟学妹比我多
Bao,2026-01-02 12:27:16,那是别人来加我的好吧
Bao,2026-01-02 12:27:23,本质上我还是社恐
Bao,2026-01-02 12:28:21,我纯纯社恐i人呀
Gao,2026-01-02 12:28:21,天哪
Bao,2026-01-02 12:28:28,不敢想我在韩国得多惨
Bao,2026-01-02 12:28:41,不会社交的可怜人
Evelyn,2026-01-02 12:29:00,欧巴
Xian,2026-01-02 12:29:38,我是社恐怎么办
Xian,2026-01-02 12:29:43,怎么突然多了这么多同学
Gao,2026-01-02 12:30:45,我们班里有广外的吗
Bao,2026-01-02 12:30:56,有的
Gao,2026-01-02 12:31:05,多少
Bao,2026-01-02 12:31:11,你问崔
Bao,2026-01-02 12:31:16,我又不关心这个
Cheng,2026-01-02 12:32:01,我来征服
Cheng,2026-01-02 12:32:12,孩子们，躲到我的背后
Wang,2026-01-02 12:32:24,程哥
Wang,2026-01-02 12:32:31,你雄壮的后背可以保护我吗
Bao,2026-01-02 12:33:23,主要是哥不在
Xian,2026-01-02 12:41:24,你们可能不信
Xian,2026-01-02 12:41:31,我在我老家，一个小县城
Xian,2026-01-02 12:41:47,刚刚看到蝴蝶忍和水柱在等路灯
Bao,2026-01-02 12:42:14,你可以上去扩列
Xian,2026-01-02 12:42:41,我在车上
Xian,2026-01-02 12:42:48,喊了人家一声
Xian,2026-01-02 12:42:56,他们在四处张望
Xian,2026-01-02 12:43:00,我们就开车走了
Bao,2026-01-02 12:43:21,那很神人了
Bao,2026-01-02 12:49:46,他们今天报道吗
Xian,2026-01-02 13:39:27,计划有变！！！
Kang,2026-01-02 14:27:35,@离离原上草 又有变了
Cheng,2026-01-02 14:30:13,你们不觉得猫走路的样子很
Cheng,2026-01-02 14:30:31,😍
Bao,2026-01-02 16:30:18,我这一生如履薄冰，你说我能拿到3.4吗
Cheng,2026-01-02 16:30:47,你肯定没问题啊
Bao,2026-01-02 16:33:28,真想让我去上课吗
Cheng,2026-01-02 16:43:18,我的GPA会变成gap year吗？
Cheng,2026-01-02 16:47:36,人儿，这个忧郁
Sev,2026-01-02 16:48:35,去年是寄了，今年要好好卷绩
Bao,2026-01-02 17:01:10,你就卷吧
Wang,2026-01-02 17:03:04,这可持续性发展是Yolanda上
Wang,2026-01-02 17:03:17,那我们这届这门课是真红利吃满
Cheng,2026-01-02 17:03:32,yolanda
Cheng,2026-01-02 17:03:43,是那个政治的吗
Wang,2026-01-02 17:03:56,宪法那个
Cheng,2026-01-02 17:12:23,小七这个太搞了
Cheng,2026-01-02 17:12:40,顶级挑眉
Xian,2026-01-02 17:35:25,哇靠可以换封面耶
Xian,2026-01-02 17:35:27,好神奇
Xian,2026-01-02 17:35:40,这个东西是限时的嘛
Xian,2026-01-02 17:35:45,还是永久的啊
Wang,2026-01-02 17:39:59,不道
Wang,2026-01-02 17:40:06,但我领到的钱是永久的
Xian,2026-01-02 17:40:22,？
Xian,2026-01-02 17:40:28,你怎么就0.22？
Xian,2026-01-02 17:40:30,我才0.03
Cheng,2026-01-02 17:40:40,有钱吗？
Xian,2026-01-02 17:44:28,你们怎么都0.2多
Xian,2026-01-02 17:44:33,我为什么才0.03
Xian,2026-01-02 17:44:34,？？？
Xian,2026-01-02 17:52:11,你也0.22？
Xian,2026-01-02 17:52:21,你们怎么都
Xian,2026-01-02 17:52:53,我是不是最近有点太黑了
Xian,2026-01-02 17:54:11,0.53？？？？？
Xian,2026-01-02 17:54:14,谢谢老板！
Bao,2026-01-02 17:54:20,0.53我绷不住了
Wang,2026-01-02 17:54:26,绷不住了
Bao,2026-01-02 17:54:28,我塞了66块钱
Bao,2026-01-02 17:54:34,你就拿了0.53
Xian,2026-01-02 17:54:39,这题我会
Xian,2026-01-02 17:55:12,不是凭什么啊？？？
Kang,2026-01-02 17:55:18,到底谁能拿到20块呢？[吃瓜]
Xian,2026-01-02 17:55:39,气笑了
Wang,2026-01-02 17:55:48,之前是谁
Wang,2026-01-02 17:55:49,是不是你
Wang,2026-01-02 17:55:52,跟你妈抢红包
Wang,2026-01-02 17:55:58,你几毛你妈200
Xian,2026-01-02 17:56:08,终于
Xian,2026-01-02 17:56:11,我不是最差的了
Wang,2026-01-02 17:56:17,？
Xian,2026-01-02 17:56:18,花钱买运气说是
Kang,2026-01-02 17:56:20,@离离原上草 谢谢你[鼓掌]
Bao,2026-01-02 17:56:28,老板大气
Xian,2026-01-02 17:56:38,我塞了52，我没钱
Kang,2026-01-02 17:57:03,今天10塊9塊麦乐鸡
Kang,2026-01-02 17:57:06,[吃瓜]
Xian,2026-01-02 17:57:07,@群之共主 0.52！！！
Bao,2026-01-02 17:57:41,@群之共主
Bao,2026-01-02 17:58:03,再创新低
Cheng,2026-01-02 18:02:26,我没猫了
Cheng,2026-01-02 18:02:36,气气气
Cheng,2026-01-02 18:02:41,😤😤😤
Xian,2026-01-02 18:08:49,我也没猫
Bao,2026-01-02 20:07:46,怎么不领我的红包
Bao,2026-01-02 20:07:49,不给我面子吗
Xian,2026-01-02 20:08:04,领了，0.53
Bao,2026-01-02 20:22:01,我草
Bao,2026-01-02 20:22:16,我娃娃遗落快递站快半个月了
Bao,2026-01-02 20:22:26,她不会阵亡了吧我超
Bao,2026-01-02 20:22:55,我不行了
Bao,2026-01-02 20:23:07,这可是好不容易的二贩
Bao,2026-01-02 20:23:28,我要死了
Bao,2026-01-02 20:25:00,别清掉啊我真求你了
Bao,2026-01-02 20:25:13,他妈的昨天没抢到今天又传来噩耗
Cheng,2026-01-02 21:53:05,@群之共主 你体育是什么时候？
Wang,2026-01-02 21:53:17,周三上午吧好像是
Cheng,2026-01-02 21:53:42,王哥 我和你一起
Cheng,2026-01-02 21:53:45,322吗？
Xian,2026-01-02 21:54:23,我322
Wang,2026-01-02 21:54:35,MSEL3111-322
Wang,2026-01-02 21:54:38,周三上午
Cheng,2026-01-02 21:54:39,高先生呢？
Wang,2026-01-02 21:55:14,要靠程哥教我打君子球了
Cheng,2026-01-02 21:55:56,群里还有别人选这个吗？
Kang,2026-01-02 21:56:00,又撞时间了[崩潰]真烦
Wang,2026-01-02 21:57:12,体育321和322是一起上吗
Cheng,2026-01-02 21:57:50,好像一个上午一个下午的
Evelyn,2026-01-02 21:58:32,为啥你也要上data science那门呀
Evelyn,2026-01-02 21:58:37,那个不是bi的吗
Evelyn,2026-01-02 21:58:40,[困][困]
Kang,2026-01-02 21:58:46,不知道啊
Kang,2026-01-02 21:59:35,我今天去问人，她说得问老师
Kang,2026-01-02 22:00:01,[崩潰]
Sev,2026-01-02 22:02:02,鲍神说地狱课
Bao,2026-01-02 22:05:50,啊哈哈不会有人要上课了吧
Cheng,2026-01-02 22:13:55,不可爱吗？
Xian,2026-01-02 22:14:25,可爱捏
Bao,2026-01-02 22:16:14,不如金毛
Morty,2026-01-02 22:17:37,showshowway
Bao,2026-01-02 22:18:13,感觉你没有什么审美啊
Cheng,2026-01-02 22:20:54,闹麻了
Cheng,2026-01-02 22:21:00,神人
Bao,2026-01-02 22:21:13,这个呆呆的粉毛一看GPA就很低
Bao,2026-01-02 22:21:33,反之这个金毛一眼高雅大小姐肯定是卷绩高手
Cheng,2026-01-02 22:22:51,呵呵
Cheng,2026-01-02 22:22:57,都是我的菜
Bao,2026-01-02 22:23:56,花心大萝卜
Cheng,2026-01-02 22:24:13,你好，我可以刷你的毛吗？
Bao,2026-01-02 22:24:38,我不是可攻略角色
Cheng,2026-01-02 22:25:05,兄弟，抱一下
Bao,2026-01-02 22:25:27,好感度-1
Cheng,2026-01-02 22:35:34,都在卷吗？不说话
Xian,2026-01-02 22:36:30,在学
Xian,2026-01-02 22:36:33,然后发现
Xian,2026-01-02 22:36:37,自己打不过来lol
Wang,2026-01-02 22:38:57,明天不讨论成绩从我做起
Cheng,2026-01-02 22:39:10,王哥
Cheng,2026-01-02 22:39:15,你gpa多少？
Xian,2026-01-02 22:39:36,明天不讨论成绩从我做起
Evelyn,2026-01-02 22:40:21,明天不讨论成绩从我做起
Xian,2026-01-02 22:40:36,然后发现gpa一个比一个高
Xian,2026-01-02 22:40:39,就我一个小丑
Evelyn,2026-01-02 22:41:04,然后发现gpa一个比一个高
Evelyn,2026-01-02 22:41:09,就我一个小丑
Wang,2026-01-02 22:41:11,程哥，我能把我的gpa后背交给你吗
Wang,2026-01-02 22:41:22,You‘re back
Wang,2026-01-02 22:41:24,你是后背
Cheng,2026-01-02 22:41:37,hold your back
Chen,2026-01-02 22:41:43,back
Xian,2026-01-02 22:41:52,back
Chen,2026-01-02 22:41:54,k
Morty,2026-01-02 22:42:48,‹
Bao,2026-01-02 22:42:54,i am bike
Bao,2026-01-02 22:44:52,如果我要回来上课
Bao,2026-01-02 22:44:59,你们会收留我吗
Xian,2026-01-02 22:45:10,啊嘞嘞？
Xian,2026-01-02 22:45:12,什么情况
Bao,2026-01-02 22:45:42,我已经在考虑最坏情况了
Chen,2026-01-02 22:45:53,会
Chen,2026-01-02 22:45:54,欢迎
Bao,2026-01-02 22:45:56,虽然应该不会发生
Bao,2026-01-02 22:46:00,呜呜呜
Chen,2026-01-02 22:46:02,哦莫莫
Chen,2026-01-02 22:46:07,你还是别出意外的好
Xian,2026-01-02 22:46:11,最坏情况？
Xian,2026-01-02 22:46:13,什么东西
Bao,2026-01-02 22:46:16,这么想我走？
Chen,2026-01-02 22:46:21,我不行了
Wang,2026-01-02 22:46:28,你见过接受逃兵的吗
Chen,2026-01-02 22:46:34,也是
Chen,2026-01-02 22:46:37,再见了
Xian,2026-01-02 22:46:40,我只是在想为什么会有最坏的情况
Bao,2026-01-02 22:46:44,我去
Wang,2026-01-02 22:46:44,群主很痛了
Bao,2026-01-02 22:46:49,我这就被切割了吗
Xian,2026-01-02 22:46:50,你的话，肯定是最好啊
Bao,2026-01-02 22:46:58,这就被踹走了吗
Cheng,2026-01-02 22:47:00,@cpp糕手&恋爱大师（国内） 鲍！告诉我你加入MPU的唯一目的是？
Wang,2026-01-02 22:47:06,你已经被踢出小团体了
Chen,2026-01-02 22:47:14,有的人在玩gal
Wang,2026-01-02 22:47:18,群主转让给我吧
Chen,2026-01-02 22:47:26,群主转让给我吧
Bao,2026-01-02 22:47:26,谁在打gal
Chen,2026-01-02 22:47:35,我来继承你的衣钵
Xian,2026-01-02 22:47:39,群主转让给我吧
Xian,2026-01-02 22:47:44,我不会继承
Bao,2026-01-02 22:47:49,你们猜拳
Chen,2026-01-02 22:47:56,攻略傲娇大小姐吗有意思
Bao,2026-01-02 22:48:04,哪里有傲娇大小姐
Xian,2026-01-02 22:48:06,六百六十六
Xian,2026-01-02 22:48:10,哪里有傲娇大小姐
Chen,2026-01-02 22:48:11,哪里有傲娇大小姐
Bao,2026-01-02 22:48:42,干啥？
Cheng,2026-01-02 22:48:43,谁在打gal？
Cheng,2026-01-02 22:48:47,是谁？
Bao,2026-01-02 22:48:49,我不是傲娇大小姐
Gao,2026-01-02 22:48:50,@复制粘贴吧黄牌 你是322吗
Gao,2026-01-02 22:48:53,程先生
Cheng,2026-01-02 22:48:57,是的
Gao,2026-01-02 22:49:01,好的
Xian,2026-01-02 22:49:02,我不是傲娇大小姐
Gao,2026-01-02 22:49:05,我要被李先生拷打了
Gao,2026-01-02 22:49:12,关于宅男不运动这档事
Cheng,2026-01-02 22:49:14,我不是傲娇（笑
Bao,2026-01-02 22:49:14,你们都被我攻略了
Bao,2026-01-02 22:49:21,@所有人 申请查看当前好感度
Cheng,2026-01-02 22:49:43,啊咧咧？什么意思，意义不明
Xian,2026-01-02 22:50:04,才…才没有100！（傲娇、双手抱胸、扭头）
Bao,2026-01-02 22:50:10,哼哼
Cheng,2026-01-02 22:50:12,笑
Bao,2026-01-02 22:50:22,被我攻略了是正常的
Bao,2026-01-02 22:50:33,正常人很难不被我攻略
Cheng,2026-01-02 22:50:36,才...才不会告诉你我的意中人是王哥哥呢
Bao,2026-01-02 22:50:40,？
Bao,2026-01-02 22:50:44,怎么还有NTR
Gao,2026-01-02 22:50:50,是的孩子们
Gao,2026-01-02 22:50:54,我连分都出不来
Cheng,2026-01-02 22:50:56,谢神发其了沉默术
Cheng,2026-01-02 22:51:00,于是
Gao,2026-01-02 22:51:00,学校的网站不好还是我的网不好
Gao,2026-01-02 22:51:01,sad
Cheng,2026-01-02 22:51:08,我只能够在群里
Cheng,2026-01-02 22:51:10,发电了
Cheng,2026-01-02 22:51:13,孩子们
Cheng,2026-01-02 22:51:15,别怕
Bao,2026-01-02 22:51:21,有一说一，我有点想转让群主
Cheng,2026-01-02 22:51:25,我的精神状态十分良好
Bao,2026-01-02 22:51:26,等我回来了再转回来给我
Cheng,2026-01-02 22:51:33,鲍神
Bao,2026-01-02 22:51:38,你去死吧
Cheng,2026-01-02 22:51:39,你应该是信任我的吧
Cheng,2026-01-02 22:51:43,？
Cheng,2026-01-02 22:52:02,笑死
Cheng,2026-01-02 22:52:09,还特殊cg
Cheng,2026-01-02 22:52:20,你也就走一个单身线了
Cheng,2026-01-02 22:52:21,笑
Bao,2026-01-02 22:52:26,wtf？
Cheng,2026-01-02 22:52:38,挠挠屁股
Cheng,2026-01-02 22:52:39,吧
Cheng,2026-01-02 22:52:53,或者找王哥接个可乐薯条
Cheng,2026-01-02 22:53:01,借
Gao,2026-01-02 22:53:04,特殊cg
Gao,2026-01-02 22:53:11,北京22路公交车
Gao,2026-01-02 22:53:13,终点站
Gao,2026-01-02 22:53:17,牡丹园西
Bao,2026-01-02 22:53:18,@所有人 “特殊CG大赛”堂堂开始！每个人可以向本群主发三张图片，谁的图片群主最满意，谁就是代理群主！
Gao,2026-01-02 22:53:25,有家巴依老爷新疆美食
Gao,2026-01-02 22:53:28,有缸子肉
Gao,2026-01-02 22:53:30,虽然肉少
Gao,2026-01-02 22:53:32,但是好吃
Cheng,2026-01-02 22:53:34,八一老爷
Gao,2026-01-02 22:53:40,你怎么知道
Cheng,2026-01-02 22:53:43,是那个将棋高手吗？
Evelyn,2026-01-02 22:53:46,我去过
Evelyn,2026-01-02 22:53:52,但是我去的是学院路那个
Gao,2026-01-02 22:54:30,感觉羊肉和牛肉还是贵
Gao,2026-01-02 22:54:40,一到这种菜就看得出来了
Evelyn,2026-01-02 22:55:21,不懂就问 CG是什么呀
Xian,2026-01-02 22:55:24,这张算吗
Bao,2026-01-02 22:55:30,任意图片
Gao,2026-01-02 22:55:41,我大众点评上看
Bao,2026-01-02 22:55:44,只是名字叫特殊CG大赛
Gao,2026-01-02 22:55:46,只有北师大店
Gao,2026-01-02 22:55:49,和北土城点
Gao,2026-01-02 22:55:52,牡丹园店
Gao,2026-01-02 22:55:56,我感觉这家环境不错
Gao,2026-01-02 22:56:03,我妈爱吃那个酸汤面片
Gao,2026-01-02 22:56:26,特殊cg我要把kemono的各种fanbox订阅发出来了
Bao,2026-01-02 22:56:39,你觉得靠那种图可以胜出吗
Gao,2026-01-02 22:56:41,👍🏻
Evelyn,2026-01-02 22:56:42,魏公村店
Cheng,2026-01-02 22:56:53,等一下，我打开我的wallpaper engine
Bao,2026-01-02 22:57:06,没人想当群主了吗
Bao,2026-01-02 22:57:25,看来所谓党派之争不过是个笑话
Cheng,2026-01-02 22:57:32,我问一下，这个群的群主有什么 存在的必要吗？
Xian,2026-01-02 22:57:52,大楚兴，陈胜王！
Bao,2026-01-02 22:58:31,我说白了没有我这个群得散
Xian,2026-01-02 22:58:55,难道你不想看群主发福利照吗
Bao,2026-01-02 22:59:09,群主不想女装
Gao,2026-01-02 23:00:12,@复制粘贴吧黄牌 你先别急
Xian,2026-01-02 23:00:51,来到了天津卫
Xian,2026-01-02 23:00:55,嘛也没学会
Bao,2026-01-02 23:02:38,怎么有人开始看辉夜了
Xian,2026-01-02 23:02:58,哪个辉夜
Xian,2026-01-02 23:03:07,大小姐
Wang,2026-01-02 23:03:33,为什么我最近老刷到湖南人吃槟榔的视频
Xian,2026-01-02 23:03:37,还是大筒木
Xian,2026-01-02 23:04:06,这个东西不是是个湖南人就吃的东西
Wang,2026-01-02 23:04:31,还动不动就是和成天下5000果
Wang,2026-01-02 23:04:51,真的5000块钱买一包槟郎吗
Xian,2026-01-02 23:05:15,我不知道
Xian,2026-01-02 23:05:32,我表哥说真有5000的
Xian,2026-01-02 23:05:42,不过最便宜的也有5块的
Wang,2026-01-02 23:06:05,又在幻想
Xian,2026-01-02 23:06:15,又在幻想
Bao,2026-01-02 23:07:27,事实罢了
Bao,2026-01-02 23:07:39,无人胆敢挑战群主
Bao,2026-01-02 23:08:02,无想の一刀
Bao,2026-01-02 23:08:06,你们就学吧
Cheng,2026-01-02 23:22:00,@cpp糕手&恋爱大师（国内）  @小可 两个死宅，呃呃
Cheng,2026-01-02 23:22:23,你们就互相挠屁股吧
Morty,2026-01-02 23:24:43,你懂什么
Morty,2026-01-02 23:24:48,辉夜ova真好看吧
Bao,2026-01-02 23:24:52,你懂什么
Bao,2026-01-02 23:24:54,确实好看
Bao,2026-01-02 23:24:59,就是我没有大小姐
Cheng,2026-01-02 23:25:06,闹麻了
Cheng,2026-01-02 23:25:09,我的日常罢了
Bao,2026-01-02 23:25:22,又在幻想
Cheng,2026-01-02 23:25:27,你们就怀抱着对我的羡慕与嫉妒溺死吧
Cheng,2026-01-02 23:25:29,哈哈
Bao,2026-01-02 23:25:51,这家伙已经没救了
Cheng,2026-01-02 23:28:30,我的对象呢？
Xian,2026-01-02 23:28:38,我的对象呢？
Bao,2026-01-02 23:28:46,new Object()
Bao,2026-01-02 23:28:58,诺，你要的对象
Cheng,2026-01-02 23:29:16,无参构造吗？
Xian,2026-01-02 23:29:18,wc，是新对象！
Cheng,2026-01-02 23:29:18,不大行
Bao,2026-01-02 23:29:31,那就new Object(Luoli)
Bao,2026-01-02 23:29:37,满意不
Cheng,2026-01-02 23:29:38,还是有点要求的
Cheng,2026-01-02 23:29:50,要内在美
Cheng,2026-01-02 23:29:58,你们太肤浅
Bao,2026-01-02 23:30:02,你要求好高
Bao,2026-01-02 23:30:07,你还是去幻想吧
Cheng,2026-01-02 23:30:41,我这样的水平
Cheng,2026-01-02 23:31:03,会不会开出一个和我心像一样的固有结界？
Bao,2026-01-02 23:31:50,那我要空想具象化
Bao,2026-01-02 23:32:00,随时随地new对象
Cheng,2026-01-02 23:32:05,第三法吗？
Cheng,2026-01-02 23:32:08,有点意思
Bao,2026-01-02 23:32:42,实则不然
Cheng,2026-01-02 23:32:47,不对第三法是灵魂物质化
Bao,2026-01-02 23:32:50,我的日常罢了
Cheng,2026-01-02 23:35:25,我去
Cheng,2026-01-02 23:35:27,5
Chen,2026-01-02 23:36:22,第五人格启动
Xian,2026-01-02 23:36:29,启动！
Cheng,2026-01-02 23:36:35,真启动吗？陈神
Xian,2026-01-02 23:36:44,到底有没有启动
Xian,2026-01-02 23:36:50,上线看看不就知道了
Cheng,2026-01-02 23:36:51,不睡觉，继续修仙吗？
Xian,2026-01-02 23:37:34,发错表情包了
Cheng,2026-01-02 23:38:07,不会有人凌晨刷新siweb看grade吧？
Xian,2026-01-02 23:38:13,😦
Xian,2026-01-02 23:38:41,我一直以为是中午才出
Cheng,2026-01-02 23:38:53,凌晨没有
Cheng,2026-01-02 23:39:20,别问我为何知道
Xian,2026-01-02 23:39:37,嗦嘎嗦嘎
Xian,2026-01-02 23:39:49,那还好，我还想拖一点时间再去看
Chen,2026-01-02 23:41:13,我刚保底深渊池
Chen,2026-01-02 23:41:15,我要崩溃了
Xian,2026-01-02 23:41:32,又更新了吗
Chen,2026-01-02 23:41:37,更新了
Chen,2026-01-02 23:41:39,深渊
Xian,2026-01-02 23:41:48,这是啥
Chen,2026-01-02 23:41:53,赛事
Chen,2026-01-02 23:42:02,全称叫深远的呼唤
Chen,2026-01-02 23:42:06,线下有赛事
Chen,2026-01-02 23:42:13,然后游戏内有新的精华
Chen,2026-01-02 23:42:18,也就是池
Xian,2026-01-02 23:42:27,懂了
Chen,2026-01-02 23:42:27,返场往年精华池
Xian,2026-01-02 23:43:04,限定返场混池对吧
Cheng,2026-01-02 23:43:11,可爱捏
Xian,2026-01-02 23:43:16,可爱捏
Chen,2026-01-02 23:45:28,这个
Xian,2026-01-02 23:45:43,白银
Xian,2026-01-02 23:46:41,要是那刻夏人设就是二创人设
Xian,2026-01-02 23:46:48,那我抽爆
Bao,2026-01-02 23:54:38,抽卡吗
Bao,2026-01-02 23:54:48,怎么漏了我这个抽卡之神
Xian,2026-01-02 23:54:48,也可以不是抽卡
Xian,2026-01-03 00:44:46,你抽的是哪个深渊啊，这里一万个深渊池子
Chen,2026-01-03 00:45:24,机械
Chen,2026-01-03 00:45:24,人偶师
Chen,2026-01-03 00:45:28,我想要牛仔的教鞭
Xian,2026-01-03 00:48:46,中间这个？
Chen,2026-01-03 00:50:42,？
Chen,2026-01-03 00:50:47,？
Xian,2026-01-03 00:51:13,我看那里有57块钱10抽的优惠
Xian,2026-01-03 00:51:17,然后试了一下
Xian,2026-01-03 00:51:55,那个COA是什么意思啊
Chen,2026-01-03 00:52:23,你不会充了57吧
Chen,2026-01-03 00:52:26,等会
Chen,2026-01-03 00:52:36,那我充的189➕4000灯泡算什么
Chen,2026-01-03 00:52:48,真会宰人啊wy
Xian,2026-01-03 00:52:57,我看那个是优惠，我就点了呗
Chen,2026-01-03 00:53:01,[苦涩]
Xian,2026-01-03 01:07:03,坏了我好像没机械师
